"Year","Sex","Country","Region","Health board","Birthweight","Age","Neonatal period","Unit measure","Unit multiplier","Observation status","GeoCode","Value"
"2017","P","","","","","","Early neonatal","Rate per 1,000 live births","Units","Undefined","K02000001",2.1
"2017","P","","","","","","Late neonatal","Rate per 1,000 live births","Units","Undefined","K02000001",0.6
"2017","P","","","","","","","Rate per 1,000 live births","Units","Undefined","K02000001",2.8
"2017","M","","","","","","Early neonatal","Rate per 1,000 live births","Units","Undefined","K02000001",2.4
"2017","M","","","","","","Late neonatal","Rate per 1,000 live births","Units","Undefined","K02000001",0.7
"2017","M","","","","","","","Rate per 1,000 live births","Units","Undefined","K02000001",3.2
"2017","F","","","","","","Early neonatal","Rate per 1,000 live births","Units","Undefined","K02000001",1.8
"2017","F","","","","","","Late neonatal","Rate per 1,000 live births","Units","Undefined","K02000001",0.5
"2017","F","","","","","","","Rate per 1,000 live births","Units","Undefined","K02000001",2.3
"2017","P","England and Wales","","","","","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001, J99000001          ",2.2
"2017","P","England and Wales","","","","","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001, J99000001          ",0.6
"2017","P","England and Wales","","","","","","Rate per 1,000 live births","Units","Undefined","K04000001, J99000001          ",2.8
"2017","M","England and Wales","","","","","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001, J99000001          ",2.5
"2017","M","England and Wales","","","","","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001, J99000001          ",0.7
"2017","M","England and Wales","","","","","","Rate per 1,000 live births","Units","Undefined","K04000001, J99000001          ",3.2
"2017","F","England and Wales","","","","","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001, J99000001          ",1.9
"2017","F","England and Wales","","","","","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001, J99000001          ",0.5
"2017","F","England and Wales","","","","","","Rate per 1,000 live births","Units","Undefined","K04000001, J99000001          ",2.4
"2017","P","England","","","","","Early neonatal","Rate per 1,000 live births","Units","Undefined","E92000001",2.2
"2017","P","England","","","","","Late neonatal","Rate per 1,000 live births","Units","Undefined","E92000001",0.6
"2017","P","England","","","","","","Rate per 1,000 live births","Units","Undefined","E92000001",2.8
"2017","M","England","","","","","Early neonatal","Rate per 1,000 live births","Units","Undefined","E92000001",2.5
"2017","M","England","","","","","Late neonatal","Rate per 1,000 live births","Units","Undefined","E92000001",0.7
"2017","M","England","","","","","","Rate per 1,000 live births","Units","Undefined","E92000001",3.2
"2017","F","England","","","","","Early neonatal","Rate per 1,000 live births","Units","Undefined","E92000001",1.9
"2017","F","England","","","","","Late neonatal","Rate per 1,000 live births","Units","Undefined","E92000001",0.5
"2017","F","England","","","","","","Rate per 1,000 live births","Units","Undefined","E92000001",2.4
"2017","P","Wales","","","","","Early neonatal","Rate per 1,000 live births","Units","Undefined","W92000004",1.8
"2017","P","Wales","","","","","Late neonatal","Rate per 1,000 live births","Units","Undefined","W92000004",0.7
"2017","P","Wales","","","","","","Rate per 1,000 live births","Units","Undefined","W92000004",2.5
"2017","M","Wales","","","","","Early neonatal","Rate per 1,000 live births","Units","Undefined","W92000004",2.3
"2017","M","Wales","","","","","Late neonatal","Rate per 1,000 live births","Units","Undefined","W92000004",0.6
"2017","M","Wales","","","","","","Rate per 1,000 live births","Units","Undefined","W92000004",2.9
"2017","F","Wales","","","","","Early neonatal","Rate per 1,000 live births","Units","Undefined","W92000004",1.3
"2017","F","Wales","","","","","Late neonatal","Rate per 1,000 live births","Units","Undefined","W92000004",0.8
"2017","F","Wales","","","","","","Rate per 1,000 live births","Units","Undefined","W92000004",2.1
"2017","P","Scotland6,8","","","","","Early neonatal","Rate per 1,000 live births","Units","Undefined","S92000003",1.5
"2017","P","Scotland6,8","","","","","Late neonatal","Rate per 1,000 live births","Units","Undefined","S92000003",0.8
"2017","P","Scotland6,8","","","","","","Rate per 1,000 live births","Units","Undefined","S92000003",2.3
"2017","M","Scotland6,8","","","","","Early neonatal","Rate per 1,000 live births","Units","Undefined","S92000003",1.8
"2017","M","Scotland6,8","","","","","Late neonatal","Rate per 1,000 live births","Units","Undefined","S92000003",0.8
"2017","M","Scotland6,8","","","","","","Rate per 1,000 live births","Units","Undefined","S92000003",2.6
"2017","F","Scotland6,8","","","","","Early neonatal","Rate per 1,000 live births","Units","Undefined","S92000003",1.2
"2017","F","Scotland6,8","","","","","Late neonatal","Rate per 1,000 live births","Units","Undefined","S92000003",0.7
"2017","F","Scotland6,8","","","","","","Rate per 1,000 live births","Units","Undefined","S92000003",1.8
"2017","P","Northern Ireland7,8","","","","","Early neonatal","Rate per 1,000 live births","Units","Undefined","N92000002",2.4
"2017","P","Northern Ireland7,8","","","","","Late neonatal","Rate per 1,000 live births","Units","Undefined","N92000002",0.4
"2017","P","Northern Ireland7,8","","","","","","Rate per 1,000 live births","Units","Undefined","N92000002",2.8
"2017","M","Northern Ireland7,8","","","","","Early neonatal","Rate per 1,000 live births","Units","Undefined","N92000002",2.5
"2017","M","Northern Ireland7,8","","","","","Late neonatal","Rate per 1,000 live births","Units","Undefined","N92000002",0.3
"2017","M","Northern Ireland7,8","","","","","","Rate per 1,000 live births","Units","Undefined","N92000002",2.8
"2017","F","Northern Ireland7,8","","","","","Early neonatal","Rate per 1,000 live births","Units","Undefined","N92000002",2.2
"2017","F","Northern Ireland7,8","","","","","Late neonatal","Rate per 1,000 live births","Units","Undefined","N92000002",0.4
"2017","F","Northern Ireland7,8","","","","","","Rate per 1,000 live births","Units","Undefined","N92000002",2.7
